Paper,run,submarine,Particle_type,Conserv,u3ghw,u2ghs,Uave[m/s],height,Fr,B,S1,S2,S3,slope,mu[kg/ms],ws[m/s],Cprofile
vanMaren,,subaerial,,Non-Conservative,726.53,,,,,0.16006867924528,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,665.369,,,,,0.15179066037736,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,796.275,,,,,0.1377158490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2763.336,,,,,0.23590828301887,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1821.399,,,,,0.34976139622642,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,674.043,,,,,0.12546413207547,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,567.018,,,,,0.13024913207547,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,303.246,,,,,0.15830411320755,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,288.103,,,,,0.17405818867925,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,329.919,,,,,0.17328424528302,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,352.704,,,,,0.21649183018868,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,289.788,,,,,0.23770086792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,258.072,,,,,0.20060886792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,217.506,,,,,0.19979881132075,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,192.764,,,,,0.17311488679245,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,161.213,,,,,0.14796950943396,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,128.381,,,,,0.11724775471698,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,595.18,,,,,0.16317628301887,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,489.048,,,,,0.17106888679245,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,452.648,,,,,0.22528352830189,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,449.35,,,,,0.25560430188679,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,540.621,,,,,0.24842026415094,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,648.115,,,,,0.23988758490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,615.341,,,,,0.27474928301887,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,689.913,,,,,0.28716849056604,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,786.505,,,,,0.24749688679245,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,880.893,,,,,0.2475130754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,962.788,,,,,0.3064579245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,606.152,,,,,0.34561896226415,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,601.851,,,,,0.40805496226415,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,603.824,,,,,0.47721735849057,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,507.206,,,,,0.44053381132075,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,472.685,,,,,0.38241458490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,402.812,,,,,0.41238854716981,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,365.399,,,,,0.3778630754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,357.068,,,,,0.48020479245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,315.276,,,,,0.41287296226415,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,284.591,,,,,0.36444888679245,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,341.435,,,,,0.34406173584906,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,295.29,,,,,0.31062401886792,,,,,,,FALSE
